phrase,answer
Abe An An Appeal,A Banana Peal
Abe Autumn Lisp Hit,A Bottomless Pit
Abe Ax Heat Rye Fur,A Back Seat Driver
Abe Bless Sing,A Blessing
Abe Earth Daze Hoot,A Birthday Suit
Abe Hold Faye Sly,A Bold-Faced Lie
Abe Lesson Indy Skies,A Blessing In Disguise
Ace Cam Mar Test,A Scam Artist
Ace Date Tough Gay Hoss,A State of Chaos
Ace Heal Ink Van,A Ceiling Fan
Ace Heck Hunch Ants,A Second Chance
Ace Height Force or Rise,A Sight For Sore Eyes
Ace Lie Soap Eye,A Slice of Pie
Ace Lip Puff That Hung,A Slip Of The Tongue
Ace Nose Dorm,A Snow Storm
Ace Pea Ding Tea Kit,A Speeding Ticket
Ace Tray Taste Who Dent,A Straight A Student
Ache Hood Sin Sew Fume Her,A Good Sense of Humor
Ache Hop Pick Hat,A Copy Cat
Ache How Cue Later,A Calculater
Ache Hunt Trim Aisle,A Country Mile
Ache Leans Late,A Clean Slate
Ache Off Cores,A Golf Course
Ache Up Puck Off He,A Cup of Coffee
Ache Wrist Much Air Hull,A Christmas Carol
Acre Halls Tub Hoard,Across the Board
Acre Hill Uh,A Gorilla
Adore Purr Eyes,A Door Prize
Age Are Coke Real,A Charcoal Grill
Age High Knees West Want,A Chinese Restaurant
Age Hip Off Told Bull Lock,A Chip Off the Old Block
Age Rob Pin Tub Huck Kit,A Drop in the Bucket
Age Us Dissolved Deep Ease,A Justice Of The Peace
Agree Nap Hull,A Green Apple
Agree Seize Boon,A Greasy Spoon
Aid Are Crank Loud,A Dark Rain Cloud
Aid Arrive Her Slice Sins,A Drivers License
Aid Eye Mud Us Sin,A Dime A Dozen
Aid Hay Huff Ache Asian,A Day of Vacation
Aid Hub Bladee Gent,A Double Agent
Aid Inn Hearse Owl Add,A Dinner Salad
Aid Us Sinner Owe Hoses,A Dozen Roses
Aid Us Tier Owed,A Dusty Road
Ail Huck Each Arm,A Lucky Charm
Aim Adder Rough Open Yen,A Matter Of Opinion
Aim Adder Rough Open Yen,A Matter of Opinion
Aim Air Egg Gore Round,A Merry-Go-Round
Aim Hiker Owes Cope,A Microscope
Aim Hilly Hindu Juan,A Million To One
Aim Honey Bag Care Runt He,A Money Back Guarantee
Aim Hunk Hear Inch,A Monkey Wrench
Aim Other Ranch Howled,A Mother and Child
Aim Us Key Tub Height,A Mesquito Bite
Aim Who Very View,A Movie Review
Air Hub Herb Hand,A Rubber Band
Aisle Beer Height They Hair,I'll Be Right There
Aisle Me Chew Have Weigh,I'll Meet You Halfway
Aisle Me Jewel Hater,I'll Meet You Later
Ale Hawk Cab Hen,A Log Cabin
Ale Of Huff Air,A Love Affair
Ands Inure Pans,Ants In Your Pants
Angers Say Way,Anchors Away
Annex Tin Chunk Hoard,An Extension Cord
Annie Turn Awful Lame,An Eternal Flame
Any Lack Tricked Bull Hank Hit,An Electric Blanket
Ape Any Fur Youth Halts,A Penny For Your Thoughts
Ape Arrows Uncle As His,A Pair of Sunglasses
Ape Hack Awful Eyes,A Pack Of Lies
Ape Hand Hub Hair,A Panda Bear
Ape Haul Oath Hurt Dean,Apollo Thirteen
Ape He Street He,A Peace Treaty
Ape Hick Cheer Rail Bum,A Picture Album
Appears Neigh Full,A Pierced Navel
Around Dove Apple Laws,A Round Of Applause
Arrest Hairy Ahh,A Rest Area
Arrest Mike Ace,I Rest My Case
Arrow Loved oil It Issue,A Roll of Toilet Tissue
Arrow Lurk Holster,A Roller Coaster
Arrow Man Tick Calm Eddy,A Romantic Comedy
As Thicker Oaf Lies,As the Crow Flies
Ask Rude Arrive Her,A Screw Driver
Ate Ooze Tore He Owls,A Two Story House
Ate Rip Toot His Kneel Hand,A Trip To Disneyland
Awe Haze Could Furl Half,Always Good For A Laugh
Awe Lint Thief Ham Hilly,All In the Family
Awe Mile Of,All My Love
Awl Took Hath Earn How,All Together Now
Baby Beef Ace,Baby Face
Backed Ooze Queer Won,Back to Square One
Baldy Gull,Bald Eagle
Ball Stint Heap Hearty,Boston Tea Party
Ball Stunk Lamp Shouter,Boston Clam Chowder
Barbie Cute Rips,Barbecued Ribs
Bare Love Monk Ease,A Barrel of Monkies
Barfs Hope,Bar Of Soap
Bat Tree Snot Ink Looted,Batteries Not Included
Bay Beach Hemp Ooh,Baby Shampoo
Bay Scissors Looted,Bases Are Loaded
Beak Hall Size Heads Hoe,Because I Said So
Bed Chirp Autumn Doll Her,Bet Your Bottom Dollar
Bee Foreign Halved Her,Before And After
Bee Way Rough Thud Hog,Beware of the Dog
Bees Items Elf,Beside Himself
Below They Whiz ill,Blow the Whistle
Berth Daze Hoot,Birthday Suit
Bet Relate Thin Heifer,Better Late Than Never
Better Hoses,Bed of Roses
Beyond Nest Wit Chores Elf,Be Honest With Yourself
Bigger Scant Beach Who Seers,Beggars Can't Be Choosers
Broth Errands Hissed Her,Brother and Sister
Bull Line Days Sub Hat,Blind As A Bat
Bun Crock Moo Sick,Punk Rock Music
Burr Sofa Faith Her,Birds of a Feather
By Chore Dung,Bite Your Tongue
Cain Eye Bayou Ade Rink,Can I Buy You A Drink?
Calm Hunger Hound,Common Ground
Calm Tooth Hen Cove Fit,Come To Think Of It
Canned Ache My High Saw Few,Can't Take My Eyes Off You
Canoe Key Pace He Grit,Can You Keep A Secret?
Canoes He Wad Ice He,Can You See What I See?
Cause Tap Rid Tip Any,Cost a Pretty Penny
Chain Jeff Pays,Change Of Pace
Chain Shove Seen Hurry,Change of Scenery
Chain Solve Fad Dress,Change Of Address
Check Can Tub Ends Talk,Jack and the Beanstalk
Check Cove Fault Raids,Jack Of All Trades
Chess Tame Home Hint,Just a Moment
Chest Beat Wean Husk Hurls,Just Between Us Girls
Chew Ear Thin Ooze,Did You Hear The News?
Comb Bee Forth Ease Dorm,Calm Before The Storm
Come Pew Turf High Russ,Computer Virus
Core Tease Inns Eh shin,Court Is In Session
Crawl Shore Fiend Curse,Cross Your Fingers
Creased My Sieve,Christmas Eve
Cuff Hearse Dory,Cover Story
Cussed Hum Aid,Custom Made
Damp Oh Rare Each Hob,Temporary Job
Dare Saw Weight Such Ants,There's Always A Chance
Dark Turf Rank Inns Tyne,Dr. Frankenstein
Dawn Beak Rule,Don't Be Cruel
Dawn Bed Tone Kit,Don't Bet On It
Dawn Bees Hose Hilly,Don't Be So Silly
Dawn Biafra Eight Duff Deed Arc,Don't Be Afraid Of The Dark
Dawn Bill Eight,Don't Be Late
Dawn Buried Hick Yule Us,Don't Be Ridiculous
Dawn By Chore Fink Earn Ails,Don't Bite Your Fingernails
Dawn Dude Rugs,Don't Do Drugs
Dawn Dutch Mice Tough,Don't Touch My Stuff
Dawn Jury Member,Don't You Remember
Dawn Peek Yearn Hose,Don't Pick Your Nose
Dawn Tall Quit Chore Mile Full,Don't Talk With Your Mouth Full
Dawn Ways Chore Moan Knit,Don't Waste Your Time On It
Dawn Ways Might I'm,Don't Waste My Time
Dawned Ease Mi,Don't Tease Me
Dawned Hey Guinea Chants His,Don't Take Any Chances
Dawned Rink Hand Arrive,Don't Drink And Drive
Day Demand War Kink,Dead Man Walking
Debt Snot Must Aisle,That's Not My Style
Deep Hatch Hell Oar Rhett,The Bachelorette
Deeper League Hates,The Pearly Gates
Deer Leap Heel Hovered,Dearly Beloved
Delete Elmer Made,The Little Mermaid
Delights Havens Dime,Daylight Savings Time
Dew June Hoe Mine Aim,Do You Know My Name?
Dew Wino Hue,Do I Know You?
Diamond Dime Hun Hen,Time and Time Again
Disc Possible Dye Purse,Disposable Diapers
Disguise They'll Him It,The Sky's The Limit
Ditch Atoll Cam Hurrah,Digital Camera
Ditch Chews Haze Hum Thin,Did You Say Something?
Dock Terse Oar Duhs,Doctor's Orders
Doll May Shuns,Dalmatians
Dozen May Kenny Cents Tomb He,Doesn't Make Any Sense To Me
Drew Thawed Air,Truth Or Dare
Dried Hog Feud,Dry Dog Food
Drum Attic Lime Acts,Dramatic Climax
Duke Hum Mere Off Hen,Do You Come Here Often?
Dune Hot Feed Than Hymn Hulls,Do Not Feed the Animals
Dust Herb Ink Dap Peas,Disturbing The Peace
Dutch Egg Cousin Theme Ale,The Check Is In The Mail
Dwell Fro Sis,Twelve roses
Each Oar Hard Tout,Eat Your Heart Out
Ear Swan Forth Erode,Here's One For The Road
Ear Wig Hoe Hug Hen,Here We Go Again
Earl Eat Tibet Earl Eat Who Rice,Early To Bed Early To Rise
Ease Ace Life Ox,He's A Sly Fox
Ease Owner Whole,He's On A Roll
Ease Seek Homey Sage Hoe,Easy Come Easy Go
Eased Ears Head Thinned Un,Easier Said Than Done
Easel Aid Ease Man,He's a Lady's Man
Eel Is Bath Early,Elizabeth Hurley
Egg Aim Much Egg Curse,A Game Of Checkers
Egg Hood Sore Solve Eye Burr,A Good Souce Of Fiber
Egg Hull Art Eve He,A Color TV
Eggs Hearse Sized Hay Lee,Exercise Daily
Eggs Marx Despot,X Marks The Spot
Eggs Rave Fish Hun,X-Ray Vision
Eight Addled Ale,A Tattle Tale
Eight Wean Gull Any Size,A Twinkle In His Eye
Eighth Her Mom Utter,A Thermometer
Eighth Reap Ease Hoot,A Three-Piece Suit
Eighty Part Mints Tore,A Department Store
Essay Madder Rough Act,As A Matter Of Fact
Eye Mile Tough Guess,I'm Out Of Gas
Eye Mull Of Mush Sheen,I'm A Love Machine
Eye Nay Firm Ache Mist Aches,I Never Make Mistakes
Eye Pillow Fizz Sigh,Apple Of His Eye
Eye Screams Hand Witch,Ice Cream Sandwich
Eyed Rye Fan Issue Fee,I Drive An SUV
Faze Them Hues Sick,Face The Music
Few Own Lean Hue,If You Only Knew
Fizzy Gal Eggs Ham,Physical Exam
Fooled Forth Halt,Food For Thought
For Dee Hay Towers,48 Hours
Foyer Inn Form Hay Shun,For Your Information
Freeze Ham Pulse,Free Samples
Fur Chin Ollie Foil,Virgin Olive Oil
Fur Scum Fur Surfed,First Come First Served
Fur Stand Form Host,First And Foremost
Ghetto Four Abe Row Can Art,Get Over A Broken Heart
Glassy Fir Dad Fur Ties Mint,Classified Advertisement
Go Form Hints Pending,Government Spending
Go Tan Hatch Heck,Coat And Hat Check
Haft Ermine Dun Height,After Midnight
Half Freight Tough Deed Arc,Afraid Of The Dark
Has Is Tent Men Itcher,Assistant Manager
Haste Huff Danny Mull,A Stuffed Animal
Hat Ten Shunned Deaf Asset Tis Hoarder,Attention Deficit Disorder
Haul Weigh Sewn Mimi Hind,Always On My Mind
Haystack Up Hank Aches,A Stack Of Pancakes
He Legs Shunned Hey,Election Day
Heap Itched Ape Err Fig Came,He Pitched A Perfect Game
Heart Official Ant Heller Gents,Artificial Intelligence
Height Whole Chews Hoe,I Told You So
Hell Beau Soft Teat Able,Elbows Off The Table
Hello Win Dressed Morgue Itch,A Low-Interest Mortgage
Hemp Yule Lance High Wren,Ambulance Siren
Henna He Bawdy Their,Anybody There?
Hide Hen Tickled Wins,Identical Twins
High Dance Eek,Hide And Seek
High Den Tee Teeth Heft,Identity Theft
High Moan Leak Hidden,I'm Only Kidding
High Wetness Snooze,Eyewitness News
High Wheel Hall Weighs Loaf View,I Will Always Love You
Hike Ann Tell Pit,I Can't Help It
Hiney Dairy Seat,I Need a Receipt
Hiney Duck Holes How Ware,I Need A Cold Shower
Hiss Statue Gnaw King,Is That You Knocking?
Hit Says Mall Whirled,It's A Small World
Hit Sewn Leap Uphill Of,It's Only Puppy Love
Hit Snotty Fin Clothes,It's Not Even Close
Hit Stoop Add,It's Too Bad
Hit Sub Pow Dime,It's About Time
Hits Owe Wad,It's So Odd
Hits Tan Treason,It Stands To Reason
Hive Cot Chew Hun Term Ice Kin,I've Got You Under My Skin
Hive Cot Yearn Umber,I've Got Your Number
Hoe Min Proof Mint,Home Improvement
Hopper Tune Hit Teen Ox,Opportunity Knocks
Hun Door Hen Easer Come Stan Says,Under Any Circumstances
Hype People Earth Duh Hey,Happy Birthday
I'm Ill Yon Dull Hers,A Million Dollars
I'm Issues Home Hutch,I Miss You So Much
Ice Senate Dew Ewe,I Sent It To You
Inn Tooth Hen Heir,Into Thin Air
Intern Ash Shun El Tree Tea,International Treaty
Iran Alt Aweigh Ohm,I Ran All The Way Home
Isle Of View,I love you
It Chief Heat,Itchy feet
Jog Clay Die Scream,Chocolate Ice Cream
Jostle Hit Tub Hit Mower,Just A Little Bit More
Juneau Hawaii Filler Bowed Ewe,You Know How I Feel About You
Juneau Mine Umber,Do You Know My Number?
Keel Her Beast Ink,Killer Bee Sting
Kenya Ear Mean How,Can You Hear Me Now?
Key Pits Imp Pills Too Pet,Keep It Simple Stupid
Kitten Hurl East Heart,Get An Early Start
Knee Says Sand Nay Fuse,Nieces And Nephews
Knot Joe Geeze,Nacho Cheese
Know Won Candy High Yet,No One Can Deny It
Lace Her Ice Serge Hurry,Laser Eye Surgery
Lair Fink Gout Lout,Laughing Out Loud
Lass Twill Ant Taste A Mint,Last Will And Testament
Lat Stool Hunch,Let's Do Lunch
Laws Din Trance Lay Shun,Lost In Translation
Lay Surge Urge Hurry,Laser Surgery
Leaf Meal Own,Leave Me Alone
Led Skit Auto Fear,Let's Get Out Of Here
Lie Finch Urine Spa Less He,Life Insurance Policy
Lie Sin Sand Dedges Tray Shun,License And Registration
Lit Skit Tone Width Hit,Let's Get On With It
Loaf Hem Anne Leaf Hem,Love 'Em And Leave 'Em
Lou Quad Hive Cot,Look What I've Got
Ma Neat Inks Hark,Man-Eating Shark
Mack Her Owe Knee Inch He's,Macaroni And Cheese
Mash Who'll Aces Sun Tide,My Shoelace Is Untied
Match Hick Kate Paul,Magic 8-ball
May Cane Aim Foyers Elf,Make A Name For Yourself
May Cuss Suck Jest Chin,Make A Suggestion
May Kick Wick,Make It Quick
May Kind Thief Id He Owe,Making The Video
May Pole Sir Up,Maple Syrup
Mike Arson Dish Hop,My Car's In The Shop
Mike Lion Tis Inner Scent,My Client Is Innocent
Mike Ranch Healed Wren,My Grandchildren
Mile Hip Czars Healed,My Lips Are Sealed
Mill Can Goo Keys,Milk And Cookies
Miss Turn High Sky,Mister Nice Guy
Muff Heater Gold,My Feet Are Cold
Mull Teen Ash Annul Fours,Multi-National Force
