language,native,answer
Bengali,মিউ মিউ (miu miu),Cat meowing
Bengali,হাঁচি (hąci),Sneezing
"Chinese, Cantonese",㕵㕵 (wōu-wōu),Dog barking
"Chinese, Cantonese",卜卜 (buk4 buk4),Heart beating
"Chinese, Cantonese",乞嗤 (hāt-chī),Sneezing
"Chinese, Cantonese",滴滴 (dihk dick),Water dripping
"Chinese, Mandarin",嗡嗡 (wēng wēng),Bee buzzing
"Chinese, Mandarin",叭叭 (ba ba),Car horn honking
"Chinese, Mandarin",汪汪 (wāng wāng),Dog barking
"Chinese, Mandarin",咕嚕咕嚕 (gū-lū gū-lū),Drinking
"Chinese, Mandarin",咕咕咕 (gū gū gū),Rooster crowing
Croatian,vau vau,Dog barking
Croatian,"glp glp, glu glu",Drinking
Croatian,brum brum,Driving
Croatian,klop klop,Horse trotting
Croatian,cmok,Kiss
Croatian,hu hu,Owl hooting
Croatian,ninu ninu,Sirens blaring
Croatian,kukuriku,Rooster crowing
Dutch,twiet twiet,Bird singing
Dutch,tok tok tok,Chicken clucking
Dutch,boe,Cow mooing
Dutch,waf waf,Dog barking
Dutch,tring tring,Doorbell
Dutch,kwak kwak,Duck calling
Dutch,kataklop kataklop,Horse trotting
Dutch,smak,Kiss
Dutch,knor knor,Pig grunting
Dutch,kukeleku,Rooster crowing
Finnish,surr,Bee buzzing
Finnish,"miau, mau, nau, kurnau",Cat meowing
Finnish,kot kot,Chicken clucking
Finnish,kriik,Creaking
Finnish,"hau hau, vuh vuh",Dog barking
Finnish,kvaak kvaak,Duck calling
Finnish,"tu-tum, pu-pum",Heart beating
Finnish,muisk,Kiss
Finnish,mur,Lion/tiger roaring
Finnish,atshii,Sneezing
French,bzzz,Bee buzzing
French,vroum vroum,Driving
French,prout,Flatulence
French,boum boum,Heart beating
French,mouah,Kiss
French,toc toc,Knocking
French,groin groin,Pig grunting
French,atchoum,Sneezing
German,waff waff,Dog barking
German,schlürf,Drinking
German,schmatz,Kiss
German,klopf klopf,Knocking
German,plitsch,Water dripping
Hindi,भो भो (bho bho),Dog barking
Italian,cip cip,Bird singing
Italian,bip bip,Car horn honking
Italian,mu,Cow mooing
Italian,criiic,Creaking
Italian,qua qua,Duck calling
Italian,prot,Flatulence
Italian,tu tump,Heart beating
Italian,muah,Kiss
Italian,nino nino,Sirens blaring
Italian,etciú,Sneezing
Japanese,ブーン (būn),Bee buzzing
Japanese,ニャー (nyā),Cat meowing
Japanese,モーモー (mō mō),Cow mooing
Japanese,ワンワン (wan wan),Dog barking
Japanese,ブロロ (buroro),Driving
Japanese,ガーガー (gā gā),Duck calling
Japanese,ドキドキ (doki doki),Heart beating
Japanese,チュー (chū),Kiss
Japanese,ピーポーピーポー (pīpō pīpō),Sirens blaring
Korean,짹짹 (jjaek jjaek),Bird singing
Korean,야옹 (yaong),Cat meowing
Korean,똑딱똑딱 (ttok-ttak ttok-ttak),Clock ticking
Korean,음매 (eum-mae),Cow mooing
Korean,멍멍 (meong meong),Dog barking
Korean,꽥꽥 (kkwaek kkwaek),Duck calling
Korean,두근두근 (dugeun dugeun),Heart beating
Korean,쪽 (jjok),Kiss
Korean,케케 (keke),Laughter
Korean,꼬꼬댁 꼬꼬 (kkokkodek kko),Rooster crowing
Korean,에취 (echwi),Sneezing
Korean,삐뽀 삐뽀 (ppippo ppippo),Sirens blaring
Malay,cip cip,Bird singing
Malay,pon pon,Car horn honking
Malay,dup dap dup dap,Heart beating
Malay,kahkah,Laughter
Norwegian,sum sum,Bee buzzing
Norwegian,mjau,Cat meowing
Norwegian,klukk klukk,Chicken clucking
Norwegian,mø,Cow mooing
Norwegian,voff voff,Dog barking
Norwegian,kvakk kvakk,Duck calling
Norwegian,dunk dunk,Heart beating
Norwegian,smask,Kiss
Norwegian,nøff nøff,Pig grunting
Norwegian,kykkeliky,Rooster crowing
Norwegian,aatsjoo,Sneezing
Persian,میومیو (mioo mioo),Cat meowing
Polish,miau,Cat meowing
Polisj,tik tak,Clock ticking
Polish,muuu,Cow mooing
Polish,gul gul,Drinking
Polish,kwa kwa kwa,Duck calling
Polish,prut,Flatulence
Polish,"bum bum, bu-bum",Heart beating
Polish,cmok,Kiss
Polish,chrum chrum,Pig grunting
Polish,kukuryku,Rooster crowing
Polish,a-psik,Sneezing
Portugese,tique-taque,Clock ticking
Portugese,dingdong,Doorbell
